order_id,order_date,year,quarter,month,region,country,product_category,product,customer_segment,revenue,material_cost,shipping_cost,marketing_cost,total_cost,profit,margin,orders,month_name,shipping_cost_pct,material_cost_pct,marketing_cost_pct
ORD-00001,2025-11-24,2025,Q4,11,Europe,Germany,Software,Cloud Platform,Enterprise,4541.94,2226.68,373.44,255.99,2856.11,1685.83,0.3712,10,November,0.0822,0.4902,0.0564
ORD-00002,2025-08-05,2025,Q3,8,Europe,Germany,Electronics,Smartphone X,Enterprise,14089.77,6800.48,1440.62,838.29,9079.39,5010.38,0.3556,9,August,0.1022,0.4827,0.0595
ORD-00003,2025-08-03,2025,Q3,8,Europe,Spain,Software,Analytics Suite,Enterprise,19121.44,9828.9,1916.54,1313.96,13059.4,6062.04,0.317,6,August,0.1002,0.514,0.0687
ORD-00004,2025-02-22,2025,Q1,2,Europe,Spain,Electronics,Tablet Air,SMB,11104.83,6226.62,909.4,622.84,7758.86,3345.97,0.3013,15,February,0.0819,0.5607,0.0561
ORD-00005,2025-07-13,2025,Q3,7,Europe,Netherlands,Software,Security Pro,Consumer,3288.18,1601.2,406.91,207.79,2215.9,1072.28,0.3261,2,July,0.1237,0.487,0.0632
ORD-00006,2025-04-30,2025,Q2,4,Europe,Spain,Software,CRM Enterprise,Consumer,12594.6,6250.26,889.91,757.0,7897.17,4697.43,0.373,12,April,0.0707,0.4963,0.0601
ORD-00007,2025-12-16,2025,Q4,12,North America,USA,Furniture,Ergonomic Chair,Enterprise,12964.99,6573.18,1137.83,786.26,8497.27,4467.72,0.3446,4,December,0.0878,0.507,0.0606
ORD-00008,2025-12-17,2025,Q4,12,Asia,India,Furniture,Office Desk,SMB,7580.27,3688.7,662.47,432.19,4783.36,2796.91,0.369,12,December,0.0874,0.4866,0.057
ORD-00009,2025-06-11,2025,Q2,6,Europe,Spain,Accessories,Webcam HD,Enterprise,7813.37,3943.12,600.39,374.12,4917.63,2895.74,0.3706,10,June,0.0768,0.5047,0.0479
ORD-00010,2025-08-08,2025,Q3,8,North America,Canada,Software,Cloud Platform,Enterprise,14198.64,6944.42,871.99,614.65,8431.06,5767.58,0.4062,11,August,0.0614,0.4891,0.0433
ORD-00011,2025-03-23,2025,Q1,3,North America,Canada,Electronics,Monitor Ultra,SMB,10968.46,5778.24,740.84,620.78,7139.86,3828.6,0.3491,1,March,0.0675,0.5268,0.0566
ORD-00012,2025-12-15,2025,Q4,12,North America,USA,Software,Security Pro,Enterprise,8560.35,4244.36,514.45,527.86,5286.67,3273.68,0.3824,12,December,0.0601,0.4958,0.0617
ORD-00013,2025-05-15,2025,Q2,5,North America,USA,Electronics,Tablet Air,Consumer,7861.11,3929.7,559.85,352.54,4842.09,3019.02,0.384,13,May,0.0712,0.4999,0.0448
ORD-00014,2025-09-29,2025,Q3,9,Europe,Netherlands,Software,CRM Enterprise,Enterprise,3819.75,1972.13,530.25,245.24,2747.62,1072.13,0.2807,4,September,0.1388,0.5163,0.0642
ORD-00015,2025-01-30,2025,Q1,1,Europe,Netherlands,Electronics,Laptop Pro,Consumer,7546.86,3674.73,625.02,475.26,4775.01,2771.85,0.3673,3,January,0.0828,0.4869,0.063
ORD-00016,2025-12-04,2025,Q4,12,Asia,Thailand,Furniture,Conference Table,Consumer,13150.28,6868.57,872.57,738.77,8479.91,4670.37,0.3552,12,December,0.0664,0.5223,0.0562
