year,quarter,month,revenue,total_cost,profit,orders,margin
2025,Q1,1,1690462.99,1110999.47,579463.52,1204,0.34278391389095125
2025,Q1,2,1370231.45,910554.98,459676.47,959,0.3354735946252
2025,Q1,3,1879175.1,1241421.23,637753.87,1483,0.33937969378159594
2025,Q2,4,1710777.59,1129803.52,580974.07,1233,0.33959649307774714
2025,Q2,5,1678430.64,1110232.3800000001,568198.26,1238,0.33852948490025186
2025,Q2,6,1635557.71,1084972.42,550585.29,1236,0.33663458441952504
2025,Q3,7,1703467.6,1137278.17,566189.43,1377,0.3323746398229118
2025,Q3,8,1787086.6099999999,1203209.62,583876.99,1475,0.32672002953455065
2025,Q3,9,1827978.72,1231606.83,596371.89,1412,0.3262466261095206
2025,Q4,10,1767657.13,1169706.19,597950.94,1301,0.338273146896989
2025,Q4,11,1768642.3,1165302.49,603339.81,1330,0.34113161830405164
2025,Q4,12,1875310.88,1234770.44,640540.44,1475,0.3415649356228339
