product_category,product,revenue,total_cost,profit,orders,margin
Accessories,Keyboard Pro,1304975.7,864789.19,440186.51,954,0.33731395151649185
Accessories,USB Hub,1314035.73,868841.8,445193.93,1040,0.3387989533587492
Accessories,Webcam HD,1357739.32,898417.19,459322.13,1071,0.3382992031194913
Accessories,Wireless Mouse,1465572.62,973457.59,492115.03,1064,0.335783449611661
Electronics,Laptop Pro,1347112.64,892188.7,454923.94,1020,0.3377029704063946
Electronics,Monitor Ultra,1509162.02,993239.63,515922.39,1040,0.34186017350211345
Electronics,Smartphone X,1404383.64,935079.86,469303.77999999997,1085,0.33417064015356945
Electronics,Tablet Air,1191602.35,785157.04,406445.31,883,0.34109139680699685
Furniture,Conference Table,898388.4400000001,597875.43,300513.01,717,0.3345023117171899
Furniture,Ergonomic Chair,1378279.99,927385.05,450894.94,1162,0.32714320984954587
Furniture,Office Desk,1261375.34,844205.62,417169.72,934,0.33072607872609905
Furniture,Storage Cabinet,1217751.07,807894.0599999999,409857.01,1041,0.3365687948030298
Software,Analytics Suite,1251795.97,830492.38,421303.59,1038,0.33655931165843267
Software,CRM Enterprise,1354954.49,901187.74,453766.75,966,0.334894458337121
Software,Cloud Platform,1160246.59,768363.3,391883.29,813,0.3377586225011012
Software,Security Pro,1277402.81,841283.16,436119.65,895,0.34141121859595724
