order_id,order_date,year,quarter,month,region,country,product_category,product,customer_segment,revenue,material_cost,shipping_cost,marketing_cost,total_cost,profit,margin,orders
ORD-00001,2025-11-24,2025,Q4,11,Europe,Germany,Software,Cloud Platform,Enterprise,4541.94,2226.68,373.44,255.99,2856.11,1685.83,0.3712,10
ORD-00002,2025-08-05,2025,Q3,8,Europe,Germany,Electronics,Smartphone X,Enterprise,14089.77,6800.48,1440.62,838.29,9079.39,5010.38,0.3556,9
ORD-00003,2025-08-03,2025,Q3,8,Europe,Spain,Software,Analytics Suite,Enterprise,19121.44,9828.9,1916.54,1313.96,13059.39,6062.05,0.317,6
ORD-00004,2025-02-22,2025,Q1,2,Europe,Spain,Electronics,Tablet Air,SMB,11104.83,6226.62,909.4,622.84,7758.85,3345.98,0.3013,15
ORD-00005,2025-07-13,2025,Q3,7,Europe,Netherlands,Software,Security Pro,Consumer,3288.18,1601.2,406.91,207.79,2215.9,1072.29,0.3261,2
ORD-00006,2025-04-30,2025,Q2,4,Europe,Spain,Software,CRM Enterprise,Consumer,12594.6,6250.26,889.91,757.0,7897.18,4697.42,0.373,12
ORD-00007,2025-12-16,2025,Q4,12,North America,USA,Furniture,Ergonomic Chair,Enterprise,12964.99,6573.18,1137.83,786.26,8497.27,4467.72,0.3446,4
ORD-00008,2025-12-17,2025,Q4,12,Asia,India,Furniture,Office Desk,SMB,7580.27,3688.7,662.47,432.19,4783.36,2796.9,0.369,12
ORD-00009,2025-06-11,2025,Q2,6,Europe,Spain,Accessories,Webcam HD,Enterprise,7813.37,3943.12,600.39,374.12,4917.63,2895.74,0.3706,10
ORD-00010,2025-08-08,2025,Q3,8,North America,Canada,Software,Cloud Platform,Enterprise,14198.64,6944.42,871.99,614.65,8431.06,5767.57,0.4062,11
ORD-00011,2025-03-23,2025,Q1,3,North America,Canada,Electronics,Monitor Ultra,SMB,10968.46,5778.24,740.84,620.78,7139.85,3828.6,0.3491,1
ORD-00012,2025-12-15,2025,Q4,12,North America,USA,Software,Security Pro,Enterprise,8560.35,4244.36,514.45,527.86,5286.67,3273.69,0.3824,12
ORD-00013,2025-05-15,2025,Q2,5,North America,USA,Electronics,Tablet Air,Consumer,7861.11,3929.7,559.85,352.54,4842.09,3019.02,0.384,13
ORD-00014,2025-09-29,2025,Q3,9,Europe,Netherlands,Software,CRM Enterprise,Enterprise,3819.75,1972.13,530.25,245.24,2747.62,1072.13,0.2807,4
ORD-00015,2025-01-30,2025,Q1,1,Europe,Netherlands,Electronics,Laptop Pro,Consumer,7546.86,3674.73,625.02,475.26,4775.01,2771.85,0.3673,3
ORD-00016,2025-12-04,2025,Q4,12,Asia,Thailand,Furniture,Conference Table,Consumer,13150.28,6868.57,872.57,738.77,8479.91,4670.37,0.3552,12
ORD-00017,2025-12-20,2025,Q4,12,Europe,Italy,Accessories,USB Hub,SMB,16253.29,8535.39,1096.08,681.35,10312.82,5940.47,0.3655,1
ORD-00018,2025-10-29,2025,Q4,10,North America,USA,Furniture,Office Desk,Enterprise,19374.65,9413.9,1201.65,793.24,11408.8,7965.85,0.4111,6
ORD-00019,2025-02-06,2025,Q1,2,North America,USA,Software,CRM Enterprise,Enterprise,14974.01,8270.67,1294.82,857.81,10423.3,4550.7,0.3039,4
ORD-00020,2025-08-31,2025,Q3,8,Asia,Japan,Electronics,Laptop Pro,Consumer,6750.24,3526.04,499.59,417.65,4443.29,2306.96,0.3418,11
ORD-00021,2025-12-01,2025,Q4,12,North America,USA,Electronics,Monitor Ultra,Consumer,5419.89,3068.56,365.62,247.72,3681.91,1737.98,0.3207,8
ORD-00022,2025-03-13,2025,Q1,3,Asia,Japan,Software,CRM Enterprise,Enterprise,23724.08,11566.4,1998.53,1558.17,15123.11,8600.97,0.3625,2
ORD-00023,2025-01-26,2025,Q1,1,North America,Mexico,Electronics,Laptop Pro,Enterprise,5240.72,2770.06,348.05,272.68,3390.79,1849.93,0.353,1
ORD-00024,2025-03-26,2025,Q1,3,Asia,India,Accessories,USB Hub,SMB,5563.34,3057.94,455.72,353.28,3866.94,1696.4,0.3049,11
ORD-00025,2025-09-07,2025,Q3,9,Europe,France,Software,Cloud Platform,Enterprise,16016.61,8556.38,2046.62,668.13,11271.13,4745.47,0.2963,10
ORD-00026,2025-09-02,2025,Q3,9,North America,Mexico,Furniture,Office Desk,Consumer,1661.62,828.45,129.36,100.12,1057.93,603.68,0.3633,4
ORD-00027,2025-07-26,2025,Q3,7,Europe,Netherlands,Furniture,Office Desk,Consumer,1688.76,921.62,201.44,83.58,1206.64,482.12,0.2855,5
ORD-00028,2025-04-15,2025,Q2,4,North America,Mexico,Software,Cloud Platform,SMB,7486.67,4096.48,516.58,370.48,4983.54,2503.14,0.3343,13
ORD-00029,2025-02-07,2025,Q1,2,Europe,Spain,Electronics,Laptop Pro,Consumer,3590.74,1818.78,315.98,238.52,2373.28,1217.46,0.3391,15
ORD-00030,2025-05-06,2025,Q2,5,Asia,Singapore,Furniture,Storage Cabinet,Consumer,10701.33,5791.21,959.02,638.01,7388.24,3313.09,0.3096,1
ORD-00031,2025-12-08,2025,Q4,12,North America,Canada,Electronics,Smartphone X,SMB,2608.46,1279.98,199.8,125.65,1605.43,1003.03,0.3845,10
ORD-00032,2025-04-18,2025,Q2,4,North America,Canada,Furniture,Conference Table,Consumer,7583.71,4326.76,647.52,324.35,5298.63,2285.08,0.3013,7
